polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00689,Ketelaar,1911-03-10,1936-06-27,"-510,6196",,,,1884-03-16,https://www.delpher.nl/nl/tijdschriften/view?identifier=MMKB26:000043052:00008&query=Johann+Gottlieb+Ketelaar&coll=dts,Amsterdam,,0,,,
00691,Keuchenius,1893-06-23,1893-12-17,"-9470,8049",1851-10-30,https://gw.geneanet.org/hoffman?lang=nl&n=keuchenius&oc=0&p=levinus+wilhelmus+christiaan,Schiedam,1826-09-24,https://gw.geneanet.org/hoffman?lang=nl&n=keuchenius&oc=0&p=levinus+wilhelmus+christiaan,Batavia,,,,,
00696,Kielstra,1893-06-23,1920-06-04,"451184,1002",1849-01-05,https://www.openarch.nl/frl:2f9a3b48-1ed5-db80-0198-5067b5683d20,,1855-06-19,https://www.openarch.nl/search.php?name=Yfke+Egberts+Kijlstra,Ternaard,,,,https://www.geni.com/people/Geertruida-Elisabeth-Cornelia-Lingeman/6000000024713517901,Vrouw gestorven in 1915
00702,Kleerekoper,1914-12-11,1943-04-14,NA,,,,,,,,,,,
00704,de Klerk,1911-03-10,1920-07-23,NA,,,,,,,,,,,
00709,Knobel,1914-06-03,1933-10-16,NA,,,,,,,,,,,
00727,Kolkman,1893-06-23,1924-02-19,"-23658,3484",1882-07-28,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I564372.php,Dordrecht,1894-05-06,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I564373.php,Dordrecht,934149.9,,,,
00733,Kooien,1911-03-10,1945-03-24,NA,,,,,,,,,,,
00742,Koster,1916-07-18,1947-07-14,NA,,,,,,,,,,,
00763,van der Kun,1893-06-23,1914-09-27,"153509,4064",1878-08-29,https://www.genealogieonline.nl/en/genealogie-schutijser/I2422.php,Rijswijk,1891-12-20,https://www.genealogieonline.nl/en/genealogie-schutijser/I2421.php,Rotterdam,1204126.08,,,,
00766,Kuyper,1911-03-10,1920-11-08,"112403,9687",1882-12-07,https://www.genealogieonline.nl/en/dinteloord-en-omliggende-gemeenten/I93176.php,Leiden,1881-01-03,https://www.genealogieonline.nl/en/dinteloord-en-omliggende-gemeenten/I93178.php,Leiden,5248.81,4010.87,,,
00772,J. ter Laan,1914-06-03,1956-08-09,NA,,,,,,,,,,,
00773,K. ter Laan,1914-06-03,1963-03-06,NA,,,,,,,,,,,
00778,Lambrechts,1878-05-24,1896-11-25,"57423,6632",1858-04-03,https://www.geni.com/people/Johannes-Jacobus-Lambrechts/6000000029401221056,Obbicht,1900-11-06,https://www.geni.com/people/Maria-Gertrudis-Nelissen/6000000029401221062,Obbicht,,,,,
00781,Land,1893-06-23,1894-10-07,"-17772,7492",1895-11-21,https://www.geni.com/people/Gosling-Land/6000000022768834962,Heerde,1907-06-04,https://www.geni.com/people/Antje-van-der-Meulen/6000000022768479511,Franeker,277.86,,,,
00796,van Leeuwen,1914-12-11,1922-10-13,"10170,7210",1913-03-09,https://www.geni.com/people/Everardus-Hendrikus-van-Leeuwen/6000000032623532119,Bloemendaal,1912-02-05,https://www.geni.com/people/Adriana-Maria-Theodora-Repelius/6000000032623532125,Velp,290745.11,,,,
00806,van Lennep,1911-03-10,1928-05-10,NA,,,,,,,,,,,
